group,symbol,value,unit,role,source_or_calibration,selection_data,sensitivity_or_range
forecast,L,12,h,observed history length,fixed training configuration,unchanged in strict chronological rerun,not varied
forecast,H,6,h,rollout and forecast horizon,fixed training configuration,unchanged in strict chronological rerun,not varied
forecast,hidden,32,units,graph-recurrent hidden width,fixed architecture,unchanged in strict chronological rerun,not varied
forecast,epochs,40,epochs,maximum training epochs,fixed training limit,validation selects the checkpoint within this limit,not varied
forecast,batch,256,samples,training batch size,fixed optimization setting,unchanged in strict chronological rerun,not varied
forecast,learning_rate,0.002,none,AdamW learning rate,fixed training configuration,unchanged in strict chronological rerun,not varied
forecast,weight_decay,0.0001,none,AdamW decoupled weight decay,fixed training configuration,unchanged in strict chronological rerun,not varied
forecast,dropout,0.1,fraction,dropout probability,fixed regularization setting,unchanged in strict chronological rerun,not varied
forecast,epsilon_LN,1e-5,variance unit,LayerNorm denominator stabilizer,torch LayerNorm configuration,all three trained models,not varied
forecast,Huber_delta,1.0,normalized unit,Huber loss transition point,loss evaluated in normalized logarithmic coordinates,2018-2021 training targets only,not varied
forecast,gradient_clip,2.0,Euclidean norm,gradient clipping threshold,fixed training configuration,all training updates,not varied
forecast,training_runs,3,integer,independent model fits,fixed repetitions,selected by 2022 validation MAE arrivals plus 0.25 times energy MAE,never selected by test error
forecast,graph_neighbours,4,stations,symmetric geographical nearest-neighbour graph,Gaussian distance weighting with self edges and row normalization,station coordinates only,not an observed origin-destination graph
objective,gamma,1.0,none,finite-horizon discount factor,undiscounted implementation,all scenarios,not varied
objective,lambda_m,1.8,per trip equivalent,mobility-loss contribution,declared benchmark weight,fixed before paired evaluation,3.6 in objective sensitivity
objective,lambda_e,2.6,per kWh,unserved-energy contribution,declared benchmark weight,fixed before paired evaluation,5.2 in objective sensitivity
objective,lambda_c,1.7,per workload unit,communication-loss contribution,declared benchmark weight,fixed before paired evaluation,3.4 in objective sensitivity
